Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
DCM Nouvelle Ltd,248.92,256.08,162.23,209.52,236.58,218.30,222.00,172.52,211.15,224.73,30.62,34.08,-10.29,-1.63,11.85,12.30%,13.31%,-6.34%,-0.78%,5.01%,0.49,1.05,0.87,1.07,-0.01,1.58,1.17,0.88,0.88,3.23,1.80,1.71,1.72,1.92,4.64,27.73,32.25,-12.02,-3.36,3.97,23.22%,25.46%,23.04%,24.70%,49.37%,21.29,24.04,-9.25,-2.53,2.01,11.40,12.87,-4.95,-1.35,1.08,20.42
Kothari Products Ltd,562.21,413.65,324.03,326.21,323.08,563.99,417.66,327.96,324.12,344.26,-1.78,-4.01,-3.93,2.09,-21.18,-0.32%,-0.97%,-1.21%,0.64%,-6.56%,20.05,10.20,11.33,8.01,22.11,6.27,2.80,3.71,2.67,3.72,0.83,0.63,0.58,0.65,0.53,11.17,2.76,3.11,6.78,-3.32,10.30%,23.55%,69.77%,23.89%,9.04%,10.02,2.11,0.94,5.16,-3.02,3.36,0.71,0.31,1.73,-1.01,-18.87
Sakthi Sugars Ltd,178.00,302.00,242.00,186.00,323.00,156.00,269.00,227.00,184.00,284.00,22.00,33.00,15.00,3.00,39.00,12%,11%,6%,1%,12%,86.00,175.00,27.00,54.00,215.00,64.00,25.00,28.00,28.00,27.00,24.00,9.00,9.00,9.00,9.00,20.00,174.00,5.00,19.00,218.00,2%,0%,-6%,-1%,-1%,20.00,173.00,5.00,19.00,220.00,1.67,14.59,0.41,1.64,18.51,81.34
Lakshmi Electrical Control Systems Ltd,80.53,77.52,95.60,91.92,95.78,72.99,70.91,86.76,85.97,90.04,7.54,6.61,8.84,5.95,5.74,9.36%,8.53%,9.25%,6.47%,5.99%,0.59,0.49,0.92,0.79,0.86,0.12,0.10,0.13,0.16,0.16,0.56,0.57,0.59,0.61,0.70,7.45,6.43,9.04,5.97,5.74,29.66%,24.73%,25.44%,28.14%,29.44%,5.26,4.84,6.75,4.29,4.05,21.40,19.69,27.46,17.45,16.48,55.82
Ovobel Foods Ltd,36.00,49.00,60.00,55.00,58.00,31.00,43.00,46.00,42.00,39.00,5.00,5.00,14.00,13.00,19.00,13%,11%,23%,24%,33%,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,14.00,14.00,20.00,0%,28%,20%,31%,27%,5.00,4.00,11.00,10.00,15.00,4.84,3.36,10.57,9.08,13.97,86.11
Integra Essentia Ltd,50.19,55.96,57.13,61.05,67.27,49.60,55.37,57.29,59.91,65.70,0.59,0.59,-0.16,1.14,1.57,1.18%,1.05%,-0.28%,1.87%,2.33%,0.00,0.00,2.22,0.98,0.88,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.54,0.59,2.05,2.11,2.43,0.00%,0.00%,0.00%,0.00%,23.46%,0.54,0.58,2.05,2.11,1.86,0.01,0.01,0.04,0.05,0.04,-5.04
Lotus Chocolate Company Ltd,26.16,22.56,14.65,13.27,12.15,24.12,22.08,15.07,14.06,17.16,2.04,0.48,-0.42,-0.79,-5.01,7.80%,2.13%,-2.87%,-5.95%,-41.23%,0.11,-0.29,0.05,0.15,-0.61,0.12,0.08,0.08,0.05,0.10,0.04,0.04,0.04,0.04,0.06,1.99,0.07,-0.49,-0.73,-5.78,0.00%,0.00%,0.00%,0.00%,-0.35%,1.99,0.07,-0.49,-0.73,-5.81,1.55,0.05,-0.38,-0.57,-4.52,-53.56
Dev Information Technology Ltd,31.59,26.57,25.99,27.34,44.26,30.36,24.60,24.16,29.07,39.41,1.23,1.97,1.83,-1.73,4.85,3.89%,7.41%,7.04%,-6.33%,10.96%,0.31,0.37,0.37,6.03,0.20,0.30,0.33,0.34,0.48,0.24,0.58,0.27,0.32,0.29,0.37,0.66,1.74,1.54,3.53,4.44,77.27%,2.87%,30.52%,24.36%,18.92%,0.16,1.69,1.07,2.66,3.59,0.10,0.73,0.53,1.29,1.50,41.71
BPL Ltd,9.26,12.14,11.86,12.88,15.34,10.34,10.30,9.60,11.49,14.34,-1.08,1.84,2.26,1.39,1.00,-11.66%,15.16%,19.06%,10.79%,6.52%,7.52,0.21,0.37,0.20,9.02,0.38,0.39,0.32,0.39,0.33,0.42,0.41,0.55,0.50,0.23,5.64,1.25,1.76,0.70,9.46,-93.97%,0.00%,0.00%,0.00%,78.75%,10.95,1.25,1.76,0.70,2.01,2.24,0.26,0.36,0.14,0.41,11.69
PVP Ventures Ltd,27.00,160.00,1.00,13.00,2.00,15.00,16.00,2.00,22.00,6.00,11.00,144.00,-2.00,-9.00,-4.00,42%,90%,-197%,-65%,-235%,-34.00,146.00,116.00,0.00,-118.00,19.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-42.00,280.00,114.00,-9.00,-122.00,0%,4%,6%,7%,-5%,-42.00,268.00,107.00,-9.00,-128.00,-1.71,10.93,4.36,-0.35,-5.24,84.62
