Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Reliance Industries Ltd,207375.00,219304.00,230055.00,217164.00,212945.00,176009.00,181372.00,198906.00,181917.00,174505.00,31366.00,37932.00,31149.00,35247.00,38440.00,15%,17%,14%,16%,18%,2602.00,2247.00,3514.00,3213.00,2949.00,3556.00,3997.00,4554.00,5201.00,5819.00,8001.00,8946.00,9730.00,10187.00,11456.00,22411.00,27236.00,20379.00,23072.00,24114.00,20%,29%,24%,23%,12%,18021.00,19443.00,15512.00,17806.00,21327.00,23.95,26.54,20.19,23.34,28.53,14.82
Tata Consultancy Services Ltd,50591.00,52758.00,55309.00,58229.00,59162.00,36746.00,39342.00,40793.00,42676.00,43388.00,13845.00,13416.00,14516.00,15553.00,15774.00,27%,25%,26%,27%,27%,981.00,789.00,965.00,520.00,1175.00,245.00,199.00,148.00,160.00,272.00,1217.00,1230.00,1237.00,1269.00,1286.00,13364.00,12776.00,14096.00,14644.00,15391.00,25%,25%,26%,26%,26%,9959.00,9519.00,10465.00,10883.00,11436.00,27.13,25.90,28.51,29.64,31.13,1.16
HDFC Bank Ltd,35574.00,37274.00,40930.00,45002.00,47548.00,15227.00,16358.00,18311.00,20505.00,22606.00,15044.00,15021.00,15915.00,16682.00,17770.00,"5,304","5,895","6,704","7,815","7,172",0.15,0.16,0.16,0.17,0.15,8386.00,6929.00,8252.00,9121.00,9610.00,0.00,0.00,0.00,0.00,0.00,13690.00,12823.00,14956.00,16936.00,16783.00,23%,25%,25%,25%,25%,10475.00,9617.00,11163.00,12735.00,12634.00,18.83,17.25,19.97,22.77,22.57,0.60
ICICI Bank Ltd,24999.00,26159.00,28850.00,31619.00,34439.00,10634.00,11089.00,11997.00,12978.00,14479.00,21775.00,18137.00,22336.00,22946.00,25959.00,"-7,410","-3,068","-5,483","-4,305","-6,000",-0.30,-0.12,-0.19,-0.14,-0.17,18013.00,13271.00,16634.00,16470.00,19735.00,0.00,0.00,0.00,0.00,0.00,10604.00,10203.00,11151.00,12165.00,13735.00,24%,25%,25%,25%,25%,8089.00,7698.00,8361.00,9166.00,10236.00,11.11,10.62,11.49,12.60,14.11,10.80
Hindustan Unilever Ltd,13767.00,14624.00,15144.00,15597.00,15215.00,10466.00,11222.00,11665.00,11903.00,11642.00,3301.00,3402.00,3479.00,3694.00,3573.00,24%,23%,23%,24%,23%,136.00,121.00,80.00,7.00,239.00,38.00,28.00,28.00,29.00,29.00,278.00,281.00,272.00,293.00,291.00,3121.00,3214.00,3259.00,3379.00,3492.00,26%,26%,18%,27%,26%,2307.00,2391.00,2670.00,2481.00,2601.00,9.81,10.13,11.34,10.53,11.07,9.90
ITC Ltd,16556.00,18489.00,17108.00,17705.00,17635.00,10956.00,12412.00,10849.00,11000.00,11011.00,5599.00,6077.00,6259.00,6705.00,6624.00,34%,33%,37%,38%,38%,499.00,321.00,455.00,595.00,683.00,11.00,9.00,13.00,9.00,12.00,467.00,438.00,462.00,447.00,461.00,5620.00,5950.00,6239.00,6844.00,6833.00,24%,25%,25%,26%,24%,4266.00,4472.00,4682.00,5080.00,5243.00,3.40,3.56,3.73,4.03,4.16,19.32
Infosys Ltd,32276.00,34470.00,36538.00,38318.00,37441.00,24430.00,26606.00,27636.00,28951.00,28443.00,7846.00,7864.00,8902.00,9367.00,8998.00,24%,23%,24%,24%,24%,637.00,676.00,584.00,769.00,671.00,50.00,56.00,66.00,80.00,82.00,890.00,950.00,1029.00,1125.00,1121.00,7543.00,7534.00,8391.00,8931.00,8466.00,24%,29%,28%,26%,28%,5695.00,5362.00,6026.00,6586.00,6134.00,13.52,12.74,14.31,15.70,14.77,-9.42
State Bank of India,74608.00,76781.00,84463.00,91518.00,98083.00,39944.00,41931.00,45232.00,49366.00,53451.00,54233.00,42328.00,49208.00,56498.00,59965.00,"-19,569","-7,478","-9,977","-14,346","-15,334",-0.26,-0.10,-0.12,-0.16,-0.16,33427.00,17743.00,30320.00,35701.00,38769.00,0.00,0.00,0.00,0.00,0.00,13858.00,10265.00,20342.00,21355.00,23436.00,28%,27%,26%,27%,22%,10191.00,7796.00,15297.00,15888.00,18769.00,10.70,8.21,16.53,17.34,20.27,6.93
Housing Development Finance Corporation Ltd,35047.00,23183.00,43917.00,41206.00,44634.00,6925.00,7688.00,8762.00,9932.00,10464.00,22373.00,10997.00,29749.00,26127.00,27719.00,"5,748","4,499","5,406","5,148","6,451",0.16,0.19,0.12,0.12,0.14,2461.00,2195.00,2965.00,3064.00,2999.00,153.00,150.00,150.00,152.00,146.00,8056.00,6544.00,8221.00,8061.00,9305.00,14%,15%,14%,12%,14%,6892.00,5574.00,7043.00,7078.00,8005.00,35.62,29.26,36.06,36.54,41.56,2.18
Bharti Airtel Ltd,31500.00,32805.00,34527.00,35804.00,36009.00,15460.00,16275.00,16933.00,17720.00,17312.00,16040.00,16529.00,17594.00,18085.00,18697.00,51%,50%,51%,51%,52%,1638.00,355.00,559.00,-412.00,886.00,4059.00,4511.00,4940.00,4686.00,5163.00,8583.00,8781.00,8947.00,9298.00,9406.00,5037.00,3592.00,4265.00,3689.00,5014.00,26%,31%,30%,29%,16%,3715.00,2469.00,2979.00,2614.00,4226.00,3.41,2.73,3.86,2.85,5.39,9.57
Bajaj Finance Ltd,8626.00,9281.00,9970.00,10784.00,11360.00,2568.00,2645.00,2971.00,3351.00,3592.00,2691.00,3023.00,3128.00,3305.00,3378.00,"3,367","3,612","3,871","4,129","4,390",0.39,0.39,0.39,0.38,0.39,3.00,2.00,2.00,2.00,5.00,104.00,111.00,121.00,119.00,134.00,3265.00,3503.00,3752.00,4012.00,4261.00,26%,26%,26%,26%,26%,2420.00,2596.00,2781.00,2973.00,3158.00,39.96,42.88,45.93,49.11,52.16,24.32
Life Insurance Corporation of India,211326.00,168071.00,216355.00,196958.00,200179.00,209220.00,236492.00,285094.00,193351.00,186381.00,2106.00,-68422.00,-68739.00,3607.00,13797.00,1%,-41%,-32%,2%,7%,208.00,70530.00,90114.00,234.00,578.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2313.00,2108.00,21376.00,3841.00,14375.00,-3%,68%,25%,-65%,7%,2372.00,683.00,15952.00,6334.00,13428.00,3.75,1.08,25.22,10.01,21.23,2.85
Kotak Mahindra Bank Ltd,8838.00,9164.00,9994.00,11011.00,11982.00,2904.00,3004.00,3374.00,3802.00,4230.00,8555.00,4969.00,9391.00,9150.00,10346.00,"-2,620","1,191","-2,772","-1,941","-2,594",-0.30,0.13,-0.28,-0.18,-0.22,7838.00,2495.00,7519.00,7319.00,8749.00,131.00,0.00,0.00,153.00,167.00,5087.00,3686.00,4747.00,5224.00,5989.00,24%,26%,25%,24%,24%,3892.00,2755.00,3608.00,3995.00,4566.00,19.61,13.88,18.17,20.12,22.99,8.29
Larsen & Toubro Ltd,52851.00,35853.00,42763.00,46390.00,58335.00,44892.00,31897.00,36400.00,39736.00,49981.00,7959.00,3957.00,6362.00,6653.00,8354.00,15%,11%,15%,14%,14%,516.00,695.00,739.00,891.00,741.00,2147.00,756.00,2304.00,2383.00,2334.00,769.00,963.00,860.00,825.00,854.00,5558.00,2932.00,3937.00,4336.00,5907.00,28%,22%,28%,29%,25%,4138.00,2228.00,2785.00,3058.00,4459.00,25.77,12.11,15.86,18.17,28.37,7.54
Asian Paints Ltd,7893.00,8607.00,8458.00,8637.00,8787.00,6449.00,7051.00,7230.00,7025.00,6923.00,1443.00,1556.00,1228.00,1611.00,1865.00,18%,18%,15%,19%,21%,-26.00,88.00,118.00,122.00,104.00,23.00,29.00,35.00,41.00,39.00,205.00,208.00,216.00,214.00,220.00,1189.00,1407.00,1094.00,1478.00,1710.00,26%,26%,27%,26%,26%,874.00,1036.00,804.00,1097.00,1258.00,8.87,10.60,8.16,11.18,12.87,15.08
HCL Technologies Ltd,22597.00,23464.00,24686.00,26700.00,26606.00,17545.00,18489.00,19261.00,20335.00,20743.00,5052.00,4975.00,5425.00,6365.00,5863.00,22%,21%,22%,24%,22%,317.00,409.00,236.00,260.00,453.00,65.00,64.00,79.00,116.00,94.00,984.00,983.00,998.00,1137.00,1027.00,4320.00,4337.00,4584.00,5372.00,5195.00,17%,24%,24%,24%,23%,3599.00,3281.00,3487.00,4096.00,3981.00,13.24,12.10,12.86,15.09,14.68,3.17
Axis Bank Ltd,18209.00,19193.00,20783.00,22843.00,24630.00,9162.00,9565.00,10150.00,11094.00,12580.00,7936.00,7239.00,7536.00,8671.00,8209.00,"1,111","2,390","3,097","3,078","3,840",0.06,0.12,0.15,0.13,0.16,4792.00,3493.00,4476.00,5241.00,-6994.00,0.00,0.00,0.00,0.00,0.00,5903.00,5883.00,7573.00,8319.00,-3153.00,25%,25%,26%,25%,-70%,4444.00,4402.00,5636.00,6215.00,-5334.00,14.39,14.26,18.27,20.12,-17.43,16.69
Maruti Suzuki India Ltd,26749.00,26512.00,29942.00,29058.00,32060.00,24320.00,24597.00,27172.00,26220.00,28708.00,2429.00,1915.00,2771.00,2837.00,3352.00,9%,7%,9%,10%,10%,514.00,112.00,662.00,897.00,791.00,56.00,28.00,31.00,30.00,99.00,648.00,652.00,723.00,711.00,740.00,2239.00,1347.00,2679.00,2994.00,3304.00,16%,23%,21%,20%,19%,1876.00,1036.00,2112.00,2392.00,2671.00,62.10,34.30,69.93,79.17,88.41,15.37
Adani Enterprises Ltd,24866.00,40844.00,38175.00,26612.00,31346.00,23603.00,39102.00,36306.00,24983.00,27759.00,1262.00,1742.00,1869.00,1629.00,3587.00,5%,4%,5%,6%,11%,276.00,222.00,266.00,339.00,1.00,622.00,915.00,934.00,596.00,1525.00,449.00,417.00,531.00,592.00,895.00,468.00,632.00,670.00,780.00,1168.00,46%,35%,35%,18%,38%,326.00,469.00,432.00,740.00,781.00,2.77,4.12,4.04,7.19,6.34,32.46
Avenue Supermarts Ltd,8786.00,10038.00,10638.00,11569.00,10594.00,8047.00,9030.00,9746.00,10604.00,9823.00,739.00,1008.00,892.00,965.00,772.00,8%,10%,8%,8%,7%,33.00,29.00,36.00,32.00,33.00,17.00,17.00,18.00,17.00,16.00,146.00,145.00,162.00,168.00,164.00,609.00,875.00,748.00,812.00,625.00,30%,27%,8%,27%,26%,427.00,643.00,686.00,590.00,460.00,6.59,9.93,10.59,9.10,7.10,18.31
Titan Company Ltd,7796.00,9443.00,9163.00,11609.00,10360.00,7002.00,8247.00,7916.00,10262.00,9271.00,794.00,1196.00,1247.00,1347.00,1089.00,10%,13%,14%,12%,11%,22.00,44.00,61.00,90.00,114.00,61.00,65.00,60.00,79.00,96.00,102.00,103.00,106.00,113.00,119.00,653.00,1072.00,1142.00,1245.00,988.00,19%,26%,27%,27%,26%,527.00,790.00,835.00,913.00,736.00,5.74,8.84,9.36,10.18,8.22,18.42
UltraTech Cement Ltd,15767.00,15164.00,13893.00,15521.00,18662.00,12695.00,12069.00,12028.00,13185.00,15340.00,3073.00,3095.00,1865.00,2336.00,3322.00,19%,20%,13%,15%,18%,253.00,110.00,146.00,130.00,123.00,206.00,216.00,200.00,215.00,191.00,703.00,695.00,708.00,723.00,762.00,2416.00,2293.00,1103.00,1527.00,2492.00,-8%,31%,31%,30%,33%,2614.00,1582.00,759.00,1063.00,1670.00,90.78,54.87,26.18,36.66,57.71,14.31
Bajaj Finserv Ltd,18862.00,15888.00,20803.00,21755.00,23625.00,12769.00,9573.00,13416.00,13924.00,15470.00,6093.00,6315.00,7387.00,7831.00,8154.00,32%,40%,36%,36%,35%,0.00,0.00,0.00,0.00,2.00,2481.00,2564.00,2961.00,3241.00,3436.00,149.00,157.00,168.00,172.00,181.00,3462.00,3594.00,4258.00,4419.00,4540.00,27%,28%,30%,25%,27%,2534.00,2578.00,2997.00,3300.00,3335.00,8.46,8.23,9.77,11.19,11.11,13.29
Sun Pharmaceuticals Industries Ltd,9447.00,10762.00,10952.00,11241.00,10931.00,7106.00,7877.00,7996.00,8237.00,8129.00,2340.00,2884.00,2957.00,3004.00,2802.00,25%,27%,27%,27%,26%,-3822.00,2.00,85.00,174.00,202.00,37.00,14.00,19.00,46.00,93.00,556.00,588.00,610.00,660.00,672.00,-2076.00,2285.00,2412.00,2471.00,2240.00,-7%,8%,6%,11%,10%,-2227.00,2093.00,2256.00,2181.00,1983.00,-9.49,8.59,9.43,9.03,8.27,3.21
Nestle India Ltd,3993.00,4037.00,4602.00,4257.00,4831.00,3072.00,3217.00,3598.00,3284.00,3735.00,921.00,819.00,1004.00,973.00,1095.00,23%,20%,22%,23%,23%,21.00,19.00,31.00,30.00,34.00,36.00,37.00,37.00,45.00,37.00,105.00,102.00,98.00,99.00,102.00,802.00,700.00,899.00,859.00,990.00,26%,26%,26%,27%,26%,591.00,515.00,661.00,628.00,737.00,61.27,53.45,68.61,65.14,76.40,21.78
Wipro Ltd,20861.00,21529.00,22540.00,23229.00,23190.00,16724.00,17671.00,18605.00,18682.00,18685.00,4136.00,3858.00,3934.00,4547.00,4505.00,20%,18%,17%,20%,19%,502.00,472.00,510.00,641.00,646.00,172.00,204.00,227.00,290.00,286.00,734.00,774.00,797.00,923.00,847.00,3732.00,3352.00,3420.00,3975.00,4018.00,17%,24%,23%,23%,23%,3092.00,2559.00,2649.00,3065.00,3094.00,5.63,4.68,4.85,5.56,5.60,3.31
Tata Motors Ltd,78439.00,71935.00,79611.00,88489.00,105932.00,70156.00,69522.00,74039.00,77668.00,92818.00,8283.00,2413.00,5572.00,10820.00,13114.00,11%,3%,7%,12%,12%,189.00,2381.00,1351.00,1130.00,1362.00,2381.00,2421.00,2487.00,2676.00,2642.00,6432.00,5841.00,5897.00,6072.00,7050.00,-341.00,-3468.00,-1461.00,3203.00,4784.00,-222%,-44%,31%,8%,-13%,-992.00,-4951.00,-898.00,3043.00,5496.00,-3.11,-15.08,-2.84,8.91,16.28,35.67
Oil & Natural Gas Corpn Ltd,155949.00,182894.00,168656.00,169213.00,164067.00,131900.00,164039.00,155313.00,147342.00,144593.00,24049.00,18855.00,13343.00,21871.00,19474.00,15%,10%,8%,13%,12%,607.00,1617.00,2317.00,2804.00,-4783.00,1491.00,1640.00,1993.00,2188.00,2068.00,7380.00,6611.00,4443.00,6784.00,6719.00,15784.00,12221.00,9224.00,15702.00,5904.00,24%,30%,26%,26%,3%,12061.00,8581.00,6830.00,11665.00,5701.00,8.39,9.49,6.60,9.13,2.95,2.94
JSW Steel Ltd,46895.00,38086.00,41778.00,39134.00,46962.00,37742.00,33794.00,40082.00,34643.00,39031.00,9153.00,4292.00,1696.00,4491.00,7931.00,20%,11%,4%,11%,17%,-508.00,189.00,779.00,188.00,465.00,1756.00,1422.00,1523.00,1819.00,2138.00,1815.00,1778.00,1805.00,1882.00,2009.00,5074.00,1281.00,-853.00,978.00,4249.00,34%,34%,-7%,52%,12%,3343.00,839.00,-915.00,474.00,3741.00,13.38,3.47,-3.51,2.03,15.16,13.93
NTPC Ltd,37085.00,43177.00,44175.00,44602.00,44253.00,25659.00,32381.00,33808.00,31783.00,32311.00,11426.00,10796.00,10367.00,12819.00,11942.00,31%,25%,23%,29%,27%,1027.00,730.00,1380.00,747.00,1084.00,2408.00,2477.00,2652.00,3168.00,2860.00,3821.00,3542.00,3687.00,3715.00,3848.00,6224.00,5508.00,5408.00,6683.00,6318.00,16%,28%,37%,27%,23%,5200.00,3978.00,3418.00,4854.00,4872.00,5.33,4.06,3.44,4.93,5.01,5.51
Mahindra & Mahindra Ltd,25934.00,28412.00,29870.00,30620.00,32366.00,21657.00,24016.00,24802.00,25368.00,26798.00,4278.00,4397.00,5068.00,5253.00,5568.00,16%,15%,17%,17%,17%,1135.00,677.00,1348.00,1185.00,752.00,1222.00,1219.00,1382.00,1596.00,1634.00,935.00,960.00,1092.00,1110.00,1194.00,3256.00,2894.00,3943.00,3732.00,3492.00,20%,18%,23%,20%,14%,2608.00,2361.00,3021.00,2994.00,2998.00,18.00,17.66,22.30,21.53,21.20,18.89
Power Grid Corporation of India Ltd,10687.00,10905.00,11151.00,11262.00,12264.00,1983.00,1661.00,1785.00,1368.00,1433.00,8704.00,9245.00,9366.00,9893.00,10831.00,81%,85%,84%,88%,88%,737.00,342.00,199.00,500.00,294.00,2091.00,1960.00,2187.00,3012.00,2475.00,3279.00,3295.00,3317.00,3407.00,3314.00,4071.00,4331.00,4060.00,3975.00,5335.00,-2%,12%,10%,8%,19%,4156.00,3801.00,3650.00,3645.00,4320.00,5.96,5.45,5.23,5.23,6.19,7.29
Adani Ports & Special Economic Zone Ltd,4141.00,5058.00,5211.00,4786.00,5797.00,2084.00,2969.00,2320.00,2090.00,2526.00,2057.00,2089.00,2891.00,2696.00,3271.00,50%,41%,55%,56%,56%,608.00,486.00,441.00,285.00,-884.00,649.00,629.00,577.00,534.00,623.00,764.00,840.00,854.00,884.00,845.00,1252.00,1105.00,1900.00,1564.00,919.00,11%,-7%,9%,15%,-24%,1112.00,1177.00,1738.00,1337.00,1141.00,5.22,5.48,7.94,6.09,5.36,8.69
Adani Green Energy Ltd,1461.00,1635.00,1586.00,1973.00,2598.00,489.00,687.00,720.00,1120.00,334.00,972.00,948.00,866.00,853.00,2264.00,67%,58%,55%,43%,87%,111.00,66.00,100.00,216.00,265.00,667.00,458.00,498.00,617.00,1338.00,274.00,280.00,298.00,330.00,392.00,142.00,276.00,170.00,122.00,799.00,15%,21%,14%,52%,38%,121.00,214.00,149.00,103.00,507.00,0.77,1.35,0.94,0.65,3.20,17.93
LTIMindtree Ltd,7129.00,4523.00,8228.00,8620.00,8691.00,5678.00,3692.00,6592.00,7245.00,7087.00,1451.00,831.00,1636.00,1375.00,1604.00,20%,18%,20%,16%,18%,223.00,144.00,161.00,152.00,66.00,31.00,17.00,38.00,38.00,44.00,162.00,106.00,196.00,178.00,182.00,1481.00,851.00,1563.00,1311.00,1444.00,25%,25%,24%,24%,23%,1109.00,634.00,1189.00,1001.00,1114.00,63.25,36.13,,33.82,37.65,6.36
Coal India Ltd,32709.00,35092.00,29838.00,35169.00,38152.00,23607.00,22865.00,22700.00,24781.00,31254.00,9102.00,12227.00,7139.00,10389.00,6898.00,28%,35%,24%,30%,18%,1767.00,995.00,1761.00,1671.00,2282.00,121.00,150.00,135.00,204.00,195.00,1412.00,994.00,1077.00,1262.00,1342.00,9335.00,12077.00,7687.00,10594.00,7642.00,28%,27%,21%,27%,28%,6715.00,8834.00,6044.00,7719.00,5528.00,10.86,14.33,9.81,12.58,8.98,3.14
Tata Steel Ltd,69324.00,63430.00,59878.00,57084.00,62962.00,54294.00,48457.00,53817.00,53036.00,55742.00,15030.00,14973.00,6060.00,4048.00,7219.00,22%,24%,10%,7%,11%,177.00,388.00,412.00,491.00,277.00,1099.00,1218.00,1519.00,1768.00,1794.00,2243.00,2237.00,2348.00,2368.00,2382.00,11865.00,11906.00,2605.00,403.00,3321.00,17%,35%,50%,721%,53%,9835.00,7714.00,1297.00,-2502.00,1566.00,7.99,6.36,1.24,-1.82,1.39,6.31
Pidilite Industries Ltd,2507.00,3101.00,3011.00,2998.00,2689.00,2106.00,2572.00,2511.00,2502.00,2232.00,401.00,529.00,500.00,496.00,458.00,16%,17%,17%,17%,17%,16.00,14.00,14.00,7.00,23.00,9.00,9.00,12.00,15.00,12.00,62.00,61.00,64.00,69.00,76.00,346.00,473.00,439.00,419.00,393.00,26%,24%,23%,27%,27%,254.00,358.00,338.00,308.00,286.00,5.00,6.96,6.54,5.98,5.57,14.08
Siemens Ltd,3475.00,3915.00,4331.00,3645.00,4465.00,3045.00,3536.00,3862.00,3096.00,3910.00,430.00,379.00,470.00,549.00,555.00,12%,10%,11%,15%,12%,74.00,73.00,391.00,95.00,188.00,10.00,4.00,14.00,5.00,7.00,52.00,52.00,52.00,52.00,54.00,441.00,396.00,795.00,588.00,682.00,25%,26%,17%,26%,24%,329.00,294.00,663.00,438.00,516.00,9.24,8.25,18.61,12.29,14.49,14.02
HDFC Life Insurance Company Ltd,17482.00,6690.00,23083.00,19577.00,20857.00,17228.00,6386.00,22815.00,19787.00,21215.00,253.00,304.00,268.00,-210.00,-358.00,1%,5%,1%,-1%,-2%,374.00,74.00,87.00,394.00,882.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,628.00,378.00,355.00,184.00,525.00,19%,4%,7%,-72%,31%,506.00,361.00,329.00,316.00,362.00,2.40,1.71,1.53,1.47,1.68,22.68
Bajaj Auto Ltd,7975.00,8005.00,10203.00,9319.00,8929.00,6614.00,6719.00,8453.00,7561.00,7272.00,1361.00,1286.00,1750.00,1757.00,1657.00,17%,16%,17%,19%,19%,666.00,320.00,532.00,271.00,595.00,3.00,4.00,11.00,8.00,16.00,70.00,68.00,67.00,75.00,76.00,1954.00,1534.00,2203.00,1945.00,2160.00,22%,24%,22%,24%,21%,1526.00,1163.00,1719.00,1473.00,1705.00,52.74,40.20,59.42,52.05,60.25,23.78
Indian Oil Corporation Ltd,175292.00,223414.00,208754.00,205715.00,203872.00,161019.00,217996.00,205477.00,201411.00,186173.00,14273.00,5418.00,3277.00,4304.00,17699.00,8%,2%,2%,2%,9%,717.00,991.00,1034.00,1731.00,1305.00,1806.00,1908.00,1554.00,2122.00,1957.00,3292.00,3158.00,3283.00,3451.00,3288.00,9891.00,1344.00,-527.00,462.00,13759.00,28%,34%,-73%,-93%,21%,7089.00,883.00,-910.00,890.00,10841.00,4.71,-0.20,-0.70,0.55,7.29,17.15
Hindustan Aeronautics Ltd,11558.00,3623.00,5145.00,5666.00,12495.00,9063.00,2798.00,3535.00,4680.00,9252.00,2495.00,825.00,1610.00,986.00,3242.00,22%,23%,31%,17%,26%,503.00,192.00,261.00,497.00,722.00,42.00,0.00,0.00,2.00,55.00,382.00,208.00,252.00,269.00,1055.00,2574.00,809.00,1619.00,1212.00,2854.00,-21%,25%,25%,5%,0%,3102.00,607.00,1209.00,1154.00,2841.00,92.77,18.14,36.16,34.51,84.97,32.46
Hindustan Zinc Ltd,8797.00,9387.00,8336.00,7866.00,8509.00,3834.00,4249.00,3928.00,4159.00,4250.00,4963.00,5138.00,4408.00,3707.00,4259.00,56%,55%,53%,47%,50%,277.00,310.00,367.00,349.00,356.00,66.00,44.00,51.00,62.00,176.00,816.00,731.00,798.00,807.00,928.00,4358.00,4673.00,3926.00,3187.00,3511.00,33%,34%,32%,32%,26%,2929.00,3093.00,2681.00,2157.00,2589.00,6.93,7.32,6.35,5.10,6.13,-2.63
SBI Life Insurance Company Ltd,20671.00,4806.00,27717.00,26817.00,21296.00,20941.00,4516.00,27292.00,26483.00,22197.00,-270.00,290.00,426.00,333.00,-901.00,-1%,6%,2%,1%,-4%,995.00,11.00,11.00,13.00,1723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,725.00,301.00,437.00,346.00,822.00,7%,13%,14%,12%,5%,672.00,263.00,377.00,304.00,777.00,6.72,2.63,3.76,3.04,7.76,15.82
DLF Ltd,1547.00,1442.00,1302.00,1495.00,1456.00,1180.00,1028.00,866.00,1018.00,1058.00,368.00,414.00,437.00,477.00,398.00,24%,29%,34%,32%,27%,105.00,75.00,58.00,65.00,120.00,128.00,105.00,107.00,95.00,85.00,37.00,37.00,37.00,39.00,36.00,307.00,346.00,351.00,408.00,397.00,27%,25%,26%,27%,28%,406.00,469.00,477.00,518.00,570.00,1.64,1.90,1.93,2.10,2.30,30.67
Britannia Industries Ltd,3550.00,3701.00,4380.00,4197.00,4023.00,3001.00,3200.00,3668.00,3379.00,3222.00,550.00,501.00,712.00,818.00,801.00,15%,14%,16%,19%,20%,54.00,56.00,53.00,428.00,60.00,34.00,42.00,54.00,38.00,35.00,51.00,51.00,52.00,58.00,65.00,519.00,463.00,659.00,1149.00,761.00,27%,28%,26%,19%,27%,378.00,336.00,491.00,932.00,558.00,15.77,14.01,20.48,38.71,23.19,14.05
Grasim Industries Ltd,28811.00,28042.00,27486.00,28638.00,33462.00,23470.00,22059.00,22894.00,23775.00,27332.00,5341.00,5983.00,4591.00,4863.00,6131.00,19%,21%,17%,17%,18%,581.00,221.00,254.00,2972.00,308.00,1188.00,1246.00,1373.00,1608.00,1816.00,1128.00,1089.00,1116.00,1139.00,1207.00,3606.00,3869.00,2356.00,5087.00,3415.00,-13%,29%,36%,12%,31%,4070.00,2759.00,1509.00,4455.00,2356.00,42.19,29.37,15.33,38.21,20.79,11.81
Godrej Consumer Products Ltd,2916.00,3125.00,3392.00,3599.00,3200.00,2453.00,2604.00,2850.00,2872.00,2559.00,463.00,521.00,542.00,727.00,641.00,16%,17%,16%,20%,20%,3.00,26.00,17.00,36.00,36.00,33.00,35.00,48.00,40.00,53.00,50.00,57.00,53.00,57.00,69.00,384.00,454.00,458.00,665.00,556.00,5%,24%,22%,18%,19%,363.00,345.00,359.00,546.00,452.00,3.55,3.37,3.51,5.34,4.42,13.75
Varun Beverages Ltd,2827.00,4955.00,3177.00,2214.00,3893.00,2296.00,3704.00,2478.00,1907.00,3095.00,531.00,1251.00,699.00,307.00,798.00,19%,25%,22%,14%,20%,9.00,10.00,11.00,9.00,10.00,47.00,46.00,45.00,47.00,63.00,131.00,153.00,153.00,180.00,172.00,361.00,1062.00,511.00,90.00,573.00,25%,24%,23%,9%,24%,271.00,802.00,395.00,82.00,439.00,1.96,6.06,2.93,0.58,3.30,25.70
Tech Mahindra Ltd,12116.00,12708.00,13130.00,13735.00,13718.00,10028.00,10828.00,11185.00,11600.00,11915.00,2088.00,1880.00,1944.00,2135.00,1803.00,17%,15%,15%,16%,13%,324.00,122.00,290.00,247.00,306.00,55.00,40.00,79.00,113.00,93.00,484.00,477.00,492.00,498.00,490.00,1873.00,1486.00,1664.00,1771.00,1525.00,18%,23%,22%,27%,26%,1545.00,1148.00,1299.00,1285.00,1125.00,15.49,11.64,13.21,13.32,11.47,-4.05
Vedanta Ltd,39822.00,38622.00,36654.00,34102.00,37930.00,26189.00,28425.00,28955.00,27035.00,28471.00,13633.00,10197.00,7699.00,7067.00,9459.00,34%,26%,21%,21%,25%,275.00,733.00,931.00,1619.00,-631.00,1333.00,1206.00,1642.00,1572.00,1805.00,2379.00,2464.00,2624.00,2720.00,2765.00,10196.00,7260.00,4364.00,4394.00,4258.00,29%,23%,38%,30%,26%,7261.00,5593.00,2687.00,3091.00,3132.00,15.60,11.89,4.86,6.63,5.06,-1.12
